Ticker,Sector,Window,Window_Days,N_Folds,N_Test_Samples,F1_Baseline,F1_Enhanced,Lift_%,Precision_Baseline,Precision_Enhanced,Recall_Baseline,Recall_Enhanced,DM_Stat,P_Value,Significant_Alpha?
ETEL.CA,Telecom,Reactionary,126,77,4851,0.44562623584678523,0.426346519129781,-4.32643214562281,0.46884349392009184,0.4723189705388352,0.4767299561959556,0.46241459061991097,-1.7274063702595048,0.08415837102903878,No
ETEL.CA,Telecom,Tactical,378,73,4599,0.473241921064486,0.4422565750673197,-6.547464334408383,0.476414479151172,0.4762432408949801,0.4966678192515324,0.4788933718908924,-2.3198030364523645,0.02039511141285244,Yes
ETEL.CA,Telecom,Strategic,756,67,4221,0.4829137553595609,0.4512435612199151,-6.5581470372624295,0.4849576065610248,0.47701357675740624,0.5071577047230558,0.482046624490174,-1.7671822674138473,0.0772699726937387,No
EXPA.CA,Banking,Reactionary,126,98,6111,0.40532896615453795,0.38911744320487984,-3.9995964521018745,0.41161495265528214,0.4000460165362034,0.4352612677162233,0.4340248481200431,-0.9459519681001599,0.34421049223915334,No
EXPA.CA,Banking,Tactical,378,94,5922,0.44329323091619327,0.4217783379985415,-4.85342238887453,0.43804412483188343,0.4324114520034012,0.4874162696599428,0.4791526942673513,-1.5484594006120536,0.121565173549389,No
EXPA.CA,Banking,Strategic,756,88,5544,0.4477736450560702,0.43975413848576106,-1.7909733319175007,0.4377298277645129,0.44726497805452164,0.49702644643036376,0.5007864467843441,-1.838592982823353,0.06602854280128323,No
FAIT.CA,Banking,Reactionary,126,91,5670,0.3790043010503716,0.35292424976051984,-6.881201932952623,0.3820598315591526,0.3721438974669264,0.4104668449788256,0.3837669736375158,1.2108897392859186,0.22598814364160758,No
FAIT.CA,Banking,Tactical,378,87,5481,0.4181280004443593,0.400113223129944,-4.30843600411127,0.4303131419101334,0.4220137568100134,0.45262075751560066,0.44724543314899606,0.26308019187213677,0.7924986612828886,No
FAIT.CA,Banking,Strategic,756,81,5103,0.4385707163429222,0.44346932947975737,1.1169494346733544,0.42460931806762164,0.42912974694050904,0.49015120235990534,0.5334019483241386,0.10544646782815309,0.9160256907942934,No
FWRY.CA,Financial Services,Reactionary,126,22,1386,0.49738257142462516,0.4586539660023012,-7.786482206522797,0.4864049220443048,0.4589411931236778,0.5333328309772726,0.4880275283279513,0.47819438901588185,0.6325873245324605,No
FWRY.CA,Financial Services,Tactical,378,18,1134,0.446623460629557,0.48756868000072867,9.167726951346356,0.48398194954955553,0.5247553721099618,0.4273190670680483,0.5211482731404558,-0.48144710881529273,0.6302917325646358,No
FWRY.CA,Financial Services,Strategic,756,12,756,0.48437728356005705,0.5080156736767164,4.880160758762849,0.4979268751839518,0.4871218830567765,0.48242921567888447,0.5699711609384531,0.2536527174546911,0.7998329222782257,No
GBCO.CA,Holdings,Reactionary,126,71,4473,0.41653615358656143,0.4110057774552229,-1.3277061507673602,0.4293249798722999,0.40354175571992157,0.4743579446569368,0.4812464506494164,-1.6927612253474102,0.09057058000724094,No
GBCO.CA,Holdings,Tactical,378,67,4221,0.43531234926957574,0.4157114062702684,-4.50273074774845,0.43733740304290364,0.44747488416888004,0.47453656082238116,0.47114704741210517,-0.12471818963889467,0.9007525969123351,No
