Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
EFIH.CA,Financial Services,Short,26,14,182,0.4121512989934043,0.5710175736961453,0.5222063650635079,0.4579365079365079,0.405526418026418,0.6405045351473923,0.5354308390022676,0.4330215419501134,-1.6073905342931702,12.168970737881878,1.8542089746967099,0.06533630884243458,No
EFIH.CA,Financial Services,Medium,52,12,156,0.46537518853695325,0.5472883597883599,0.5306216931216932,0.5324404761904762,0.4306572569730464,0.6287037037037037,0.5790369352869353,0.4484788359788359,-7.4602025245593975,14.876132930513567,0.4223501836416667,0.6733547127775958,No
EFIH.CA,Financial Services,Long,104,8,104,0.5309065934065934,0.5905257936507937,0.5689484126984128,0.5531746031746032,0.5469960594960595,0.6685019841269841,0.6547619047619048,0.5853670634920636,3.0305643759718706,13.204535909281804,0.44829398585247715,0.6548826437716411,No
EKHO.CA,Holdings,Short,26,92,1183,0.349684443580099,0.5157247514390371,0.41227392875744523,0.4192220477934763,0.36118097409306205,0.5220208363065505,0.41434109236307043,0.43746729461015177,3.287687148807825,1.2208227062876735,2.658366929314685,0.007958032185309882,Yes
EKHO.CA,Holdings,Medium,52,90,1157,0.3516716927742426,0.5103762342526388,0.4131552280428685,0.3935616194043161,0.36021231312913926,0.529003518329361,0.39666285649431715,0.42026038879971467,2.428577713355894,3.6497161949554267,2.1116282048613715,0.034932486095860416,Yes
EKHO.CA,Holdings,Long,104,86,1105,0.3826464857306234,0.4980689245395128,0.43627917833800184,0.41067226890756314,0.35296473402556083,0.5323682200152788,0.415636193871488,0.3936974789915966,-7.756964407601536,6.886455626091768,0.7132877320381072,0.47581847329376203,No
EMFD.CA,Real Estate,Short,26,40,520,0.4077944971694971,0.555922619047619,0.4882909451659452,0.4466964285714286,0.4399754996465523,0.5624900793650794,0.5214781746031745,0.48534722222222226,7.891475412351963,1.1813623141852982,3.636132171955472,0.000304369555557793,Yes
EMFD.CA,Real Estate,Medium,52,38,494,0.40310483041662765,0.5395154553049291,0.46932767524872787,0.4330200501253133,0.40937695345590075,0.5612468671679197,0.5002088554720133,0.45035505430242273,1.5559533317401757,4.027949829668599,1.5251328694369848,0.12786718876706527,No
EMFD.CA,Real Estate,Long,104,34,442,0.42867506388267634,0.5352240896358543,0.492768016297428,0.4358893557422969,0.44065726180778086,0.5505602240896359,0.507941813088872,0.4653244631185808,2.7951702663964415,2.8653670024859452,0.2794579182080457,0.7800244449601994,No
ETEL.CA,Telecom,Short,26,78,1014,0.47474799705688,0.5177077552077552,0.5198778073778073,0.5303335553335553,0.5153061399935657,0.555168905168905,0.5693107818107819,0.5708310208310208,8.543088794080028,7.235964612142366,3.727487993950229,0.00020410154634142863,Yes
